Date,Name,Year,Letterboxd URI
2021-01-12,Parasite,2019,https://boxd.it/hTha
2021-01-12,Knives Out,2019,https://boxd.it/jWEA
2021-01-12,Get Out,2017,https://boxd.it/eOCm
2021-01-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-01-12,Midsommar,2019,https://boxd.it/jhxe
2021-01-12,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-01-12,Black Panther,2018,https://boxd.it/8MHs
2021-01-12,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2021-01-12,Moonlight,2016,https://boxd.it/d6bE
2021-01-12,Hereditary,2018,https://boxd.it/hNVe
2021-01-12,Spirited Away,2001,https://boxd.it/2b4m
2021-01-12,Us,2019,https://boxd.it/gnV6
2021-01-12,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-01-12,The Shape of Water,2017,https://boxd.it/dZ5m
2021-01-12,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2021-01-12,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-01-12,The Lobster,2015,https://boxd.it/7tnw
2021-01-12,The Handmaiden,2016,https://boxd.it/948A
2021-01-12,Sorry to Bother You,2018,https://boxd.it/f21E
2021-01-12,Paris Is Burning,1990,https://boxd.it/1jzg
2021-01-13,The Children's Hour,1961,https://boxd.it/1DZI
2021-01-14,Hearts Beat Loud,2018,https://boxd.it/gReG
2021-01-14,The Princess Bride,1987,https://boxd.it/26EY
2021-01-14,Heavenly Creatures,1994,https://boxd.it/2974
2021-07-21,The Invitation,2015,https://boxd.it/9OUU
2021-07-21,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2021-07-21,Fear Street: 1666,2021,https://boxd.it/lLBE
2021-07-21,Luca,2021,https://boxd.it/ipjC
2021-07-23,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2022-06-28,Ready or Not,2019,https://boxd.it/kOf0
2022-10-02,Oldboy,2003,https://boxd.it/29R2
2022-12-16,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2023-01-03,Decision to Leave,2022,https://boxd.it/qp9e
2023-01-23,The Incredibly True Adventure of Two Girls in Love,1995,https://boxd.it/1nDc
2023-02-13,First Girl I Loved,2016,https://boxd.it/bRy2
2023-03-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2023-06-17,The Girl Without Hands,2016,https://boxd.it/dThQ
2023-09-12,The Love Witch,2016,https://boxd.it/cZie
2023-09-28,Bottoms,2023,https://boxd.it/uGf2
2023-11-12,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA
2024-01-20,Donkey Skin,1970,https://boxd.it/22V2
2024-02-05,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u
2024-03-18,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2024-03-18,Lisa Frankenstein,2024,https://boxd.it/ByjY
2024-07-07,Problemista,2023,https://boxd.it/waGO
2024-12-26,Dogville,2003,https://boxd.it/2a8W
2025-05-10,The Ugly Stepsister,2025,https://boxd.it/MZBM
2025-06-08,D.E.B.S.,2004,https://boxd.it/2aaS
2025-09-15,I Saw the TV Glow,2024,https://boxd.it/woVe
